FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3544512906725,98.4374669796824,98.5204826686923,98.60349835770216,98.68651404671206,98.76952973572192,98.85254542473184,98.9355611137417,99.0185768027516,99.10159249176148,99.18460818077136,99.26762386978125,99.35063955879112,99.433655247801,99.5166709368109,99.59968662582077,99.66505546694948,99.65534264617978,99.64562982541004,99.63591700464036,99.62620418387064,99.61649136310092,99.60677854233124,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.16577115512106,96.37297995336316,96.58414842324028,96.79268559933458,96.99873849325012,97.20221272870828,97.40313670247558,97.60158954758668,97.79758973328605,97.99112332515344,98.18224771476358,98.37096040486794,98.55739807319652,98.74156420106767,98.92341782699764,99.10298058292447,99.2335067314028,99.20327222095985,99.1737272552471,99.14487800030096,99.1167359557668,99.08929849227432,99.06253278811856,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_ST_BS,Basic and safely managed sanitation coverage (%),RUR,Rural area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7815113067627,32.25336074829102,32.67912673950195,33.05855560302734,33.39139175415039,33.67738723754883,33.91628265380859,34.10782623291016,34.25176620483398,34.34784698486328,33.59145736694336,32.5767822265625,31.51161766052246,30.39570617675781,29.22879791259766,28.01063537597656,26.740966796875,25.4195384979248,24.79476165771484,24.16800689697266,23.53927230834961,22.9085578918457,22.27586555480957,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_ST_BS,Basic and safely managed sanitation coverage (%),URB,Urban area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.49531173706055,29.71975898742676,28.93197822570801,28.13191986083984,27.31953048706055,26.49476051330566,25.65756034851074,24.80787658691406,23.94565963745117,23.07085990905762,22.18342590332031,21.28330612182617,20.37044906616211,19.4448070526123,18.37080383300781,17.21551513671875,16.04691314697266,14.86494445800781,13.81954288482666,12.77074813842773,11.71856117248535,10.6629810333252,9.604008674621582,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_ST_BS,Basic and safely managed sanitation coverage (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89533233642578,30.50096893310547,30.07395935058594,29.61587142944336,29.1269416809082,28.60760116577148,28.05820465087891,27.47900772094727,26.87032508850098,26.23258972167969,25.34322166442871,24.37342834472656,23.38134956359863,22.36727333068848,21.23177719116211,20.0233268737793,18.79218292236328,17.53852844238281,16.56246948242188,15.5805139541626,14.59264755249023,13.59885883331299,12.59925556182861,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_ST_SWR,Total sanitation coverage by sewer (%),RUR,Rural area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.81132450523091,18.27586538544801,20.74040626566602,23.20494714588403,25.66948802610204,28.13402890632005,30.59856978653806,33.06311066675607,35.52765154697408,37.99219242719209,40.4567333074101,42.92127418762811,45.38581506784612,47.85035594806413,50.31489682828214,52.77943770849924,55.24397858871725,57.70851946893526,57.70851946893526,57.70851946893526,57.70851946893526,57.70851946893526,57.70851946893526,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_ST_SWR,Total sanitation coverage by sewer (%),URB,Urban area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.34889573465921,87.82519066074292,88.30148558682652,88.77778051291023,89.25407543899382,89.73037036507753,90.20666529116124,90.68296021724484,91.15925514332856,91.63555006941216,92.11184499549586,92.58813992157944,93.06443484766316,93.54072977374688,94.01702469983049,94.49331962591418,94.96961455199778,95.44590947808148,95.44590947808148,95.44590947808148,95.44590947808148,95.44590947808148,95.44590947808148,
A,Annual,BGR,Bulgaria,WB_EWSA_JMP_ST_SWR,Total sanitation coverage by sewer (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09999470940437,66.38035005860691,67.7115739345964,69.02658806256579,70.32685085015271,71.61118894923254,72.87978239758279,74.13338564898831,75.37211852716845,76.5955639834849,77.80441195699134,78.99829245689395,80.17928390692992,81.34733744662232,82.50194838820434,83.64353795344222,84.77164680780318,85.88664854657857,86.01458086063295,86.14250754864487,86.27043837116035,86.39836953420644,86.5259181807,
A,Annual,BGR,Bulgaria,WB_EWSA_SDG_3_1A,Monitoring (availability etc.) (SDG 3.1.a),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,70.0
A,Annual,BGR,Bulgaria,WB_EWSA_SDG_3_1B,Sustainable & efficient use management (SDG 3.1.b),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,60.0
