REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CZE,Czechia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,98.1277777777778,98.1277777777778,98.28888888888888,98.45,98.61111111111109,98.77222222222218,98.93333333333334,99.09444444444443,99.25555555555552,99.41666666666664,99.57777777777778,99.73888888888888,99.89853258081068,99.90059175645632,99.90265093210192,99.90265093210192,99.90265093210192,99.90265093210192,99.90265093210192,99.90265093210192,99.90265093210192,99.90265093210192,99.90265093210192
CZE,Czechia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,96.36589815087666,96.35838120093688,96.6737787296712,96.98994483272526,97.3069505582134,97.62478965301374,97.9434669336894,98.26295035901168,98.58331072356717,98.9044898916612,99.22652703155232,99.5493976693829,99.86818226137277,99.8741097401901,99.88001249592382,99.88009591392948,99.88017239961482,99.88026044300324,99.88035845178186,99.88046889350755,99.8805882608907,99.88071929644038,99.8808566286988
GEO,Georgia,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,14631.414499448,15044.056065655,15342.142124488,15501.227149887,15613.624311002,15729.741531013,15846.004757555,15961.830733518,16068.730423133,16159.9779124,16255.446395914,16369.738446061,16495.589715379,16625.865520297,16696.916040324,16702.830197388,16700.698328111,16697.166965606,16688.287920794,16680.178322247,16684.766199873,16716.594724335,16688.696906069
GEO,Georgia,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,72.268819824,69.575098328,66.822439878,64.008888825,61.132402027,58.190843905,58.190843905,58.190843905,58.190843905,54.86794403,51.434463674,47.884789541,44.212921871,40.412440599,36.476467896,32.397626627,28.167994207,35.390278859,35.460685297,37.592071953,42.804706964,46.60592425,33.552397594
GEO,Georgia,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,6.239522258,6.172725299,6.105928339,6.039131379,5.972334419,5.905537459,5.916395223,5.927252986,5.938110749,5.842487785,5.746864821,5.651241857,5.555618893,5.459995928,5.364372964,5.26875,5.173127036,4.477296417,4.205602606,5.120977199,5.386710098,5.240977199,4.212964169
GEO,Georgia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,45.43926302678256,46.35674327010361,47.27422351342466,48.19170375674548,49.10918400006653,50.02666424338759,50.94414448670841,51.86162473002946,52.77910497335051,53.69658521667134,54.61406545999239,55.53154570331344,56.44902594663426,57.36650618995532,58.28398643327637,59.20146667659719,60.11894691991824,61.0364271632393,61.95390740656012,62.87138764988117,63.78886789320222,64.70634813652327,65.6238283798441
GEO,Georgia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,88.831611671941,89.21566385736492,89.59971604278883,89.98376822821274,90.36782041363676,90.75187259906068,91.1359247844846,91.5199769699085,91.9040291553324,92.28808134075643,92.67213352618036,93.05618571160426,93.44023789702815,93.82429008245208,94.2083422678761,94.59239445330002,94.97644663872391,95.36049882414784,95.74455100957186,96.12860319499578,96.51265538041967,96.8967075658436,97.28075975126752
GEO,Georgia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,68.28012959995172,68.8139609270367,69.47013868529785,70.2704522524539,71.06620483361574,71.85741062906938,72.6444905149505,73.42744127651632,74.20586910057129,74.97979487189328,75.74961517057648,76.5149505667225,77.27618731568273,78.03260245656026,78.7849410547361,79.53284840484625,80.27947490226502,81.02368146973248,81.76603837962166,82.50611714423171,83.24413766797615,83.97935977721802,84.7120116957569
HRV,Croatia,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,24386.83295944,24528.757235983,24501.937162634,24496.79405464,24477.640197714,24455.568057644,24445.062329116,24444.190090997,24451.685439612,24474.94855621,24528.352334088,24644.788012775,24769.700481495,24868.010969268,25003.086873996,25216.738464657,25504.9989798,25862.914296921,26212.039748881,26465.41910437,26682.124595153,26881.651934842,27002.62885309
HRV,Croatia,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,,,1.028770706,0.931198656,1.202890704,0.991156194,0.835491499,0.491573034,0.981789038,1.593510068,6.880633111,6.688562438,6.618527792,6.825479284,6.909794954,6.978112562,6.870427764,7.645244557,7.711328449,7.622868606,7.524752475,7.584830339,7.480314961
HRV,Croatia,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,,,1.275011116,1.360858794,1.34920282,1.368258909,1.410309344,1.447246395,1.47421076,1.533570476,1.518461538,1.477116496,1.45120498,1.398194753,1.289266341,1.380262339,1.415320142,1.502830147,1.486674077,1.493997332,1.462872388,1.47843486,1.509559804
HRV,Croatia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,76.74,76.74,76.74,76.74,76.74,76.74,76.74,76.74,,,,,,,,,,,,,,,
HRV,Croatia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,95.67,95.67,95.67,95.67,95.67,95.67,95.67,95.67,,,,,,,,,,,,,,,
HRV,Croatia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,86.85391720509259,86.89443100668525,86.9262313351605,86.95822284875882,86.9900264624734,87.02182776450302,87.05363343696095,87.08543374891978,,,,,,,,,,,,,,,
HUN,Hungary,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,10205.48348478,10229.484719215,10257.962101959,10287.899955713,10311.536298938,10332.111826036,10348.317398417,10364.675114276,10382.705527403,10398.567077457,10421.751237007,10455.754264038,10487.441137976,10516.367816436,10544.628008844,10569.953220843,10600.852226974,10627.857003002,10640.045817674,10644.454147274,10667.260751035,10712.979701994,10739.024562008
HUN,Hungary,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,12.127416116,12.249958671,11.881742049,11.615589222,10.470533697,5.646696275,5.505281754,5.515616144,5.674034964,5.838777523,6.010230179,6.188811415,6.374975252,8.650496429,11.156488279,12.714066924,9.994481997,11.059266578,10.81210812,11.166023476,11.206412306,11.432935455,11.046622656
HUN,Hungary,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,10.092458261,10.020322395,9.948186529,9.853770869,9.75935521,9.664939551,9.570523892,9.476108233,9.381692573,10.953367876,9.274611399,9.02417962,8.723661485,9.067357513,6.775474957,6.960276338,6.837651123,8.180518135,8.494752155,7.708246977,7.739896373,7.718307427,8.108497409
HUN,Hungary,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,90.50761718750005,91.06908203125022,91.63054687500016,92.19201171875012,92.75347656250004,93.31494140625024,93.87640625000016,94.43787109375012,94.99933593750006,95.56080078125024,96.12226562500018,96.68373046875011,97.24519531250009,97.80666015625025,98.3681250000002,98.92958984375014,99.49105468750008,99.9000969865194,100.0,100.0,100.0,100.0,100.0
HUN,Hungary,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,95.8159774948349,96.07590694997828,96.33583640512164,96.59576586026492,96.8556953154083,97.11562477055156,97.37555422569494,97.63548368083832,97.89541313598158,98.15534259112496,98.41527204626824,98.6752015014116,98.935130956555,99.19506041169824,99.45498986684164,99.7149193219849,99.97484877712829,100.0,100.0,100.0,100.0,100.0,100.0
